group_index,sample_id,label,reason
1,1,1,因经济纠纷引发，定性寻衅滋事存疑
1,2,0,因合同纠纷聚众殴打，情节恶劣
1,3,0,多次损毁财物，情节严重
1,4,0,结伙持械任意损毁，情节严重
1,5,1,家庭邻里纠纷引发，定性寻衅滋事不当
1,6,0,持凶器随意殴打，致二人轻微伤
1,7,0,为他人撑场面随意殴打，致二人轻微伤
1,8,0,多次任意损毁财物，价值较大
1,9,0,因偶发矛盾持械殴打，致人轻伤
1,10,0,纠集多人随意殴打，致人轻伤
1,11,0,无事生非随意殴打，致三人轻微伤
1,12,1,非正常上访入罪，存在扩大化风险
1,13,0,暴力讨债致人自杀，情节恶劣
1,14,0,借故生非随意殴打，致二人轻微伤
1,15,0,为报复蒙面持械殴打，致二人轻伤
1,16,2,旧怨引发互殴，定性存争议
1,17,0,酒后持凶器随意威胁、追砍
1,18,0,因纠纷纠集多人随意殴打
1,19,0,无事生非持械随意殴打
1,20,0,因业务纠纷纠集他人随意殴打
2,21,0,多次泼油漆粪便，破坏财物情节恶劣
2,22,0,醉酒划伤多车，损失较大，符合寻衅滋事
2,23,0,随意殴打致两人轻微伤，情节恶劣
2,24,0,长期霸占市场辱骂多人，情节恶劣
2,25,0,酒后持械上门殴打致人流产，情节恶劣
2,26,0,酒吧内无故持瓶伤人致轻伤，情节恶劣
2,27,0,酒后滋事，纠集他人殴打致轻伤
2,28,0,酒后发泄划车，损失符合情节严重
2,29,0,多次随意殴打未成年人，情节恶劣
2,30,0,持棒球棍殴打致轻伤，情节恶劣
2,31,0,酒后砸店损毁财物数额较大
2,32,1,以收车为名强拿硬要，经济纠纷刑事化
2,33,0,借故生非随意殴打致轻微伤，情节恶劣
2,34,0,酒后持刀伤人，公共场所逞强耍横
2,35,0,聚众互殴致多人轻微伤，情节恶劣
2,36,0,因纠纷殴打他人致轻微伤，情节恶劣
2,37,0,持械聚众打砸车辆致轻伤，情节恶劣
2,38,1,为垄断经营殴打，行政处罚或更妥当
2,39,0,因琐事互殴升级，致人轻伤情节恶劣
2,40,0,酒后无故损毁多车，损失较大情节严重
3,41,0,持刀随意伤人，致人轻伤，明显寻衅滋事
3,42,0,持械随意殴打他人，致人轻伤，情节恶劣
3,43,2,损毁财物数额刚过标准，性质判断存疑
3,44,1,信访行为入罪，存在扩大化风险
3,45,0,持械随意殴打他人致轻伤，情节恶劣
3,46,0,随意殴打他人致轻伤，情节恶劣
3,47,2,因特定矛盾引发，法院改判故意伤害罪
3,48,0,持械随意殴打他人致轻伤，情节恶劣
3,49,2,强闯收费站，行为性质认定存争议
3,50,0,持械随意殴打多人，情节恶劣
3,51,0,随意殴打他人致轻伤，情节恶劣
3,52,0,持械随意殴打他人，事出有因但情节恶劣
3,53,0,随意殴打他人致轻伤，情节恶劣
3,54,2,致二人轻微伤，情节严重性存疑
3,55,2,损毁财物数额较大，但情节和动机存疑
3,56,0,多次随意殴打他人，情节恶劣
3,57,0,持械随意殴打他人致轻伤，情节恶劣
3,58,0,随意殴打他人致二人轻微伤，情节恶劣
3,59,0,持械随意殴打他人致轻伤，情节恶劣
3,60,2,损毁财物数额刚过标准，性质判断存疑
4,61,0,酒后持刀伤人，符合寻衅滋事罪构成
4,62,0,多次滋扰工地，强索工程，情节恶劣
4,63,0,恶势力团伙多次阻工、敲诈勒索，情节严重
4,64,2,邻里纠纷引发，定性寻衅滋事存在争议
4,65,0,聚众持械斗殴，损毁财物，情节恶劣
4,66,1,多次辱骂、扰乱单位秩序，但入罪标准模糊
4,67,1,信访终结后非访索财，入罪存在扩大化风险
4,68,0,为泄愤砸车，符合寻衅滋事罪构成
4,69,0,酒后随意殴打他人，致轻微伤，情节恶劣
4,70,2,弹弓射击损财，情节轻微，入罪存疑
4,71,0,随意殴打他人致轻微伤，情节恶劣
4,72,0,持械聚众斗殴，致人轻伤，情节恶劣
4,73,0,参与持械斗殴，情节恶劣，符合寻衅滋事罪
4,74,0,持械殴打致人轻伤，损毁财物，情节严重
4,75,2,邻里纠纷引发互殴，入罪标准存争议
4,76,0,多次骚扰、恐吓、损财，情节恶劣
4,77,0,任意损毁财物，情节严重，累犯从重
4,78,0,酒后随意殴打他人，致多人轻微伤
4,79,2,因狗引发纠纷，定性故意伤害更妥
4,80,0,强行扣车抵债，情节严重
5,81,0,酒后无故砸车打人，符合寻衅滋事特征
5,82,0,持械追逐毁财，破坏公共秩序
5,83,1,事出有因，报复特定车辆，或属故意毁坏财物
5,84,0,随意殴打多人致轻微伤，符合情节恶劣
5,85,0,无事生非，纠集多人殴打致轻伤，情节恶劣
5,86,2,因工程矛盾指使毁财，边界模糊
5,87,0,酒店保安随意殴打致轻伤，情节恶劣
5,88,0,借钱不成故意毁坏大门，任意损毁财物
5,89,0,结伙随意殴打致轻微伤并毁财，情节恶劣
5,90,2,因同行竞争借故生非，边界较模糊
5,91,1,为讨债针对特定人砸物，非典型寻衅滋事
5,92,2,劳资纠纷引发冲突，定性存争议
5,93,2,为泄私愤损毁财物，但与特定矛盾相关
5,94,0,报复性多次放炮恐吓并持刀伤人，情节恶劣
5,95,1,无故追逐撞车，但可能属故意毁坏财物或危险驾驶
5,96,0,为讨赌债持械砸家伤人，符合情节严重
5,97,0,报复性砸车，任意毁损财物
5,98,1,侵占土地属民事纠纷，刑事化可能不当
5,99,0,多次借口砸店，任意损毁财物造成恶劣影响
5,100,0,持械随意殴打致轻微伤，情节恶劣
